BioSample Accession,BAKTA,size,contigs_orig,MIC
SAMEA7547323,atb.bakta.r0.2.batch.344.tar.xz,4312775,90,1.0
SAMEA7562296,atb.bakta.r0.2.batch.346.tar.xz,4294395,135,0.12
SAMEA8718266,atb.bakta.r0.2.batch.347.tar.xz,4329580,99,0.5
SAMEA7542178,atb.bakta.r0.2.batch.343.tar.xz,4356076,94,0.5
SAMEA5569681,,4355279,77,0.5
SAMEA5569747,atb.bakta.r0.2.batch.340.tar.xz,3952015,668,0.5
SAMEA7544379,atb.bakta.r0.2.batch.343.tar.xz,4353630,84,0.5
SAMEA7546461,atb.bakta.r0.2.batch.343.tar.xz,4366058,79,0.06
SAMN05918670,,4400281,22,0.25
SAMEA8742550,atb.bakta.r0.2.batch.347.tar.xz,4337969,96,0.5
SAMN05918605,,4396361,3,0.25
SAMEA7524759,atb.bakta.r0.2.batch.342.tar.xz,4361885,99,0.125
SAMEA7562619,atb.bakta.r0.2.batch.346.tar.xz,4339668,139,0.25
SAMEA7525402,atb.bakta.r0.2.batch.342.tar.xz,4342591,110,0.5
SAMN05919630,,4388959,14,0.25
SAMEA8718564,atb.bakta.r0.2.batch.347.tar.xz,4303344,116,1.0
SAMEA7541573,atb.bakta.r0.2.batch.343.tar.xz,4308734,117,0.5
SAMEA8718631,atb.bakta.r0.2.batch.347.tar.xz,4306835,115,1.0
SAMEA7524717,atb.bakta.r0.2.batch.342.tar.xz,4311787,132,0.125
SAMEA7526513,atb.bakta.r0.2.batch.342.tar.xz,4336445,164,0.5
SAMEA5569754,atb.bakta.r0.2.batch.340.tar.xz,3751822,783,0.5
SAMEA1101448,atb.bakta.r0.2.batch.334.tar.xz,4272485,170,0.25
SAMEA7543936,atb.bakta.r0.2.batch.343.tar.xz,4350871,79,0.5
SAMEA8742478,atb.bakta.r0.2.batch.347.tar.xz,4343850,102,0.5
SAMEA5570071,atb.bakta.r0.2.batch.340.tar.xz,4346134,85,0.12
SAMEA7526094,atb.bakta.r0.2.batch.342.tar.xz,4361944,134,0.25
SAMEA7525524,atb.bakta.r0.2.batch.342.tar.xz,4315161,169,1.0
SAMEA7547032,atb.bakta.r0.2.batch.344.tar.xz,3668957,1258,0.5
SAMEA7525036,atb.bakta.r0.2.batch.342.tar.xz,4360481,102,0.5
SAMN06094113,,4370262,19,8.0
SAMEA7562000,atb.bakta.r0.2.batch.346.tar.xz,4303474,153,0.5
SAMEA7526328,atb.bakta.r0.2.batch.342.tar.xz,4367710,105,0.06
SAMEA7541430,atb.bakta.r0.2.batch.343.tar.xz,4341631,86,0.5
SAMEA7526203,atb.bakta.r0.2.batch.342.tar.xz,4348595,92,0.125
SAMEA7560740,atb.bakta.r0.2.batch.346.tar.xz,4350504,97,0.25
SAMEA7546894,atb.bakta.r0.2.batch.343.tar.xz,4333329,104,0.5
SAMEA7545181,atb.bakta.r0.2.batch.343.tar.xz,4332445,100,0.5
SAMEA8741232,atb.bakta.r0.2.batch.347.tar.xz,4334664,143,0.25
SAMEA7544142,atb.bakta.r0.2.batch.343.tar.xz,4330211,99,0.5
SAMEA7541590,atb.bakta.r0.2.batch.343.tar.xz,4269394,105,0.5
SAMEA8718344,atb.bakta.r0.2.batch.347.tar.xz,4308748,116,0.25
SAMEA7525542,atb.bakta.r0.2.batch.342.tar.xz,4302966,154,0.25
SAMEA104362392,atb.bakta.r0.2.batch.350.tar.xz,4322871,102,0.5
SAMEA7563411,atb.bakta.r0.2.batch.346.tar.xz,4331904,128,0.25
SAMEA7526604,atb.bakta.r0.2.batch.342.tar.xz,4361807,90,0.5
SAMEA7544181,atb.bakta.r0.2.batch.343.tar.xz,4339902,86,0.25
SAMEA7525947,atb.bakta.r0.2.batch.342.tar.xz,4325460,137,0.12
SAMEA7525469,atb.bakta.r0.2.batch.342.tar.xz,4291496,200,0.25
SAMEA7526175,atb.bakta.r0.2.batch.342.tar.xz,4312520,110,0.5
SAMEA7562567,atb.bakta.r0.2.batch.346.tar.xz,4351038,98,0.25
SAMEA7542069,atb.bakta.r0.2.batch.343.tar.xz,4375906,81,0.5
SAMEA104362356,atb.bakta.r0.2.batch.350.tar.xz,4301012,125,1.0
SAMEA8742456,atb.bakta.r0.2.batch.347.tar.xz,4334048,98,0.5
SAMN05918674,,4386739,35,0.5
SAMEA7525218,atb.bakta.r0.2.batch.342.tar.xz,4303041,135,0.25
SAMEA7526469,atb.bakta.r0.2.batch.342.tar.xz,4350953,144,0.125
SAMEA7524782,atb.bakta.r0.2.batch.342.tar.xz,4344586,122,0.5
SAMEA7525977,atb.bakta.r0.2.batch.342.tar.xz,4321430,127,0.5
SAMEA7546477,atb.bakta.r0.2.batch.343.tar.xz,4252844,172,0.5
SAMEA7526130,atb.bakta.r0.2.batch.342.tar.xz,4343105,136,0.25
SAMEA7546574,atb.bakta.r0.2.batch.343.tar.xz,4325319,102,0.12
SAMEA7543970,atb.bakta.r0.2.batch.343.tar.xz,4353630,89,0.5
SAMEA8718809,atb.bakta.r0.2.batch.347.tar.xz,4342352,83,0.25
SAMEA7546584,atb.bakta.r0.2.batch.343.tar.xz,4329219,93,0.25
SAMEA7544183,atb.bakta.r0.2.batch.343.tar.xz,4334295,133,1.0
SAMEA104362491,atb.bakta.r0.2.batch.350.tar.xz,4253970,145,0.5
SAMEA7525318,atb.bakta.r0.2.batch.342.tar.xz,4356614,152,0.25
SAMEA7545961,atb.bakta.r0.2.batch.343.tar.xz,4347360,102,0.25
SAMEA7526509,atb.bakta.r0.2.batch.342.tar.xz,4364790,96,0.25
SAMEA7545993,atb.bakta.r0.2.batch.343.tar.xz,4357747,96,0.25
SAMEA7555851,atb.bakta.r0.2.batch.345.tar.xz,4331300,104,0.25
SAMEA7526457,atb.bakta.r0.2.batch.342.tar.xz,4318704,131,0.25
SAMEA7564183,atb.bakta.r0.2.batch.346.tar.xz,4310549,129,0.25
SAMEA7545326,atb.bakta.r0.2.batch.343.tar.xz,4008864,582,0.5
SAMEA7555730,atb.bakta.r0.2.batch.345.tar.xz,4361506,78,0.12
SAMEA7544386,atb.bakta.r0.2.batch.343.tar.xz,4337581,96,2.0
SAMEA7563384,atb.bakta.r0.2.batch.346.tar.xz,4332745,107,0.5
SAMEA7541771,atb.bakta.r0.2.batch.343.tar.xz,4340337,99,0.25
SAMEA7526787,atb.bakta.r0.2.batch.342.tar.xz,4346657,97,0.125
SAMEA7544565,atb.bakta.r0.2.batch.343.tar.xz,4356525,80,0.25
SAMEA104362477,atb.bakta.r0.2.batch.350.tar.xz,4175496,320,0.5
SAMEA7546850,atb.bakta.r0.2.batch.343.tar.xz,3815685,1251,1.0
SAMEA7545271,atb.bakta.r0.2.batch.343.tar.xz,4300346,94,0.12
SAMEA7526003,atb.bakta.r0.2.batch.342.tar.xz,4333971,120,0.25
SAMEA7525830,atb.bakta.r0.2.batch.342.tar.xz,4349237,97,0.25
SAMN05916427,,4395890,18,0.25
SAMEA7562353,atb.bakta.r0.2.batch.642_a.tar.xz,4320530,132,0.25
SAMEA8742643,atb.bakta.r0.2.batch.347.tar.xz,4340354,88,1.0
SAMEA7545428,atb.bakta.r0.2.batch.343.tar.xz,4309809,97,0.5
SAMEA8719015,atb.bakta.r0.2.batch.347.tar.xz,4258457,152,8.0
SAMEA7526598,atb.bakta.r0.2.batch.342.tar.xz,4350264,105,1.0
SAMN05918671,,4390483,22,0.25
SAMN06010358,,4393523,10,0.25
SAMEA7562407,atb.bakta.r0.2.batch.346.tar.xz,4324718,154,0.5
SAMEA7541633,atb.bakta.r0.2.batch.343.tar.xz,4334562,92,0.5
SAMEA7525562,atb.bakta.r0.2.batch.342.tar.xz,4310857,178,0.5
SAMEA7524732,,4349229,108,0.5
SAMEA7546221,atb.bakta.r0.2.batch.343.tar.xz,4335231,106,0.5
SAMEA7563088,atb.bakta.r0.2.batch.346.tar.xz,4344717,94,0.12
SAMEA7526359,atb.bakta.r0.2.batch.342.tar.xz,4346460,85,0.06
SAMEA7525132,atb.bakta.r0.2.batch.342.tar.xz,4357002,191,0.25
SAMEA7562366,atb.bakta.r0.2.batch.346.tar.xz,4273596,144,1.0
SAMEA7541456,atb.bakta.r0.2.batch.343.tar.xz,4335818,131,0.25
SAMEA7544375,atb.bakta.r0.2.batch.343.tar.xz,4340672,99,1.0
SAMEA5569919,atb.bakta.r0.2.batch.340.tar.xz,4341236,86,0.5
SAMEA7525079,atb.bakta.r0.2.batch.342.tar.xz,4344131,123,0.5
SAMEA7545199,atb.bakta.r0.2.batch.343.tar.xz,4342138,115,0.25
SAMEA7561577,atb.bakta.r0.2.batch.346.tar.xz,4257355,153,0.5
SAMEA7525489,atb.bakta.r0.2.batch.342.tar.xz,4335137,186,0.06
SAMEA1101589,atb.bakta.r0.2.batch.334.tar.xz,4326812,129,0.5
SAMEA7563139,atb.bakta.r0.2.batch.346.tar.xz,4330120,129,0.5
SAMEA8719022,atb.bakta.r0.2.batch.347.tar.xz,4215389,253,0.25
SAMEA7526103,atb.bakta.r0.2.batch.342.tar.xz,4369952,107,0.5
SAMEA7546719,atb.bakta.r0.2.batch.343.tar.xz,4347351,108,0.12
SAMEA7526093,atb.bakta.r0.2.batch.342.tar.xz,4341194,125,0.5
SAMEA7563457,atb.bakta.r0.2.batch.346.tar.xz,4334185,139,0.25
SAMEA7525686,atb.bakta.r0.2.batch.342.tar.xz,4342172,126,0.25
SAMEA7563370,atb.bakta.r0.2.batch.346.tar.xz,4334249,136,0.5
SAMEA7543925,atb.bakta.r0.2.batch.343.tar.xz,4340380,91,0.5
SAMEA7561213,atb.bakta.r0.2.batch.346.tar.xz,4314009,124,0.5
SAMEA7560750,atb.bakta.r0.2.batch.346.tar.xz,4337480,109,0.5
SAMEA7526281,atb.bakta.r0.2.batch.342.tar.xz,4383424,86,0.125
SAMEA7524983,atb.bakta.r0.2.batch.342.tar.xz,4348819,111,0.25
SAMEA7525585,atb.bakta.r0.2.batch.342.tar.xz,4381124,111,0.5
SAMEA7546565,atb.bakta.r0.2.batch.343.tar.xz,3587824,1328,0.12
SAMEA7560639,atb.bakta.r0.2.batch.346.tar.xz,4305007,175,0.5
SAMEA7526200,atb.bakta.r0.2.batch.342.tar.xz,4310528,113,0.25
SAMEA7526110,atb.bakta.r0.2.batch.342.tar.xz,4362960,139,0.25
SAMEA7526002,atb.bakta.r0.2.batch.342.tar.xz,4345768,95,0.25
SAMEA5570073,atb.bakta.r0.2.batch.340.tar.xz,4352839,77,0.5
SAMEA8718281,atb.bakta.r0.2.batch.347.tar.xz,4320380,107,0.03
SAMEA7562352,atb.bakta.r0.2.batch.346.tar.xz,4314922,119,0.5
SAMEA7526239,atb.bakta.r0.2.batch.342.tar.xz,4339957,112,0.5
SAMN05916260,,4400519,4,0.5
SAMEA7547320,atb.bakta.r0.2.batch.344.tar.xz,4296826,76,0.5
SAMEA7562502,atb.bakta.r0.2.batch.346.tar.xz,4322625,139,0.25
SAMEA7544060,atb.bakta.r0.2.batch.343.tar.xz,4330429,92,0.5
SAMEA7525302,atb.bakta.r0.2.batch.342.tar.xz,4345155,122,0.5
SAMEA7542149,atb.bakta.r0.2.batch.343.tar.xz,4355208,93,0.5
SAMEA7560732,atb.bakta.r0.2.batch.346.tar.xz,4360695,89,1.0
SAMN05916218,,4375377,10,0.5
SAMEA104362199,atb.bakta.r0.2.batch.350.tar.xz,3921799,671,0.25
SAMEA7541575,atb.bakta.r0.2.batch.343.tar.xz,4302221,111,0.25
SAMN05916287,,4385183,5,4.0
SAMEA1102319,atb.bakta.r0.2.batch.334.tar.xz,4324412,132,0.25
SAMEA7547505,atb.bakta.r0.2.batch.344.tar.xz,4343164,89,0.25
SAMEA7525103,atb.bakta.r0.2.batch.342.tar.xz,4339110,129,0.5
SAMN05916420,,4390730,5,10.0
SAMEA104362088,atb.bakta.r0.2.batch.350.tar.xz,4304803,100,0.5
SAMEA8718397,atb.bakta.r0.2.batch.347.tar.xz,3779597,780,0.5
SAMEA7525195,atb.bakta.r0.2.batch.342.tar.xz,4340482,127,0.5
SAMEA7547450,atb.bakta.r0.2.batch.344.tar.xz,4325163,109,1.0
SAMEA7524863,atb.bakta.r0.2.batch.342.tar.xz,4381030,94,0.5
SAMEA7545381,atb.bakta.r0.2.batch.343.tar.xz,4282536,116,0.5
SAMEA7526223,atb.bakta.r0.2.batch.342.tar.xz,4333756,121,0.5
SAMEA7525171,atb.bakta.r0.2.batch.342.tar.xz,4355888,96,0.125
SAMEA7525888,atb.bakta.r0.2.batch.342.tar.xz,4350771,86,0.5
SAMEA7561610,atb.bakta.r0.2.batch.346.tar.xz,4298676,168,0.25
SAMEA7545664,atb.bakta.r0.2.batch.343.tar.xz,4329950,86,0.25
SAMEA7560980,atb.bakta.r0.2.batch.346.tar.xz,4321629,199,0.25
SAMEA7526460,atb.bakta.r0.2.batch.342.tar.xz,4281342,124,0.06
SAMEA7555735,atb.bakta.r0.2.batch.345.tar.xz,4347065,87,0.12
SAMEA7542078,atb.bakta.r0.2.batch.343.tar.xz,4333040,119,1.0
SAMEA7526340,atb.bakta.r0.2.batch.342.tar.xz,4371678,145,0.125
SAMEA7526583,atb.bakta.r0.2.batch.342.tar.xz,4335864,130,0.125
SAMEA7555947,atb.bakta.r0.2.batch.345.tar.xz,4353232,102,0.5
SAMEA8718385,atb.bakta.r0.2.batch.347.tar.xz,4002667,634,0.5
SAMEA7526341,atb.bakta.r0.2.batch.342.tar.xz,4362967,83,0.25
SAMEA8741244,atb.bakta.r0.2.batch.347.tar.xz,4305475,154,0.5
SAMN05918560,,4343692,17,0.25
SAMEA8719252,atb.bakta.r0.2.batch.347.tar.xz,4308824,116,0.5
SAMEA7524935,atb.bakta.r0.2.batch.342.tar.xz,4346034,101,0.5
SAMEA7525347,atb.bakta.r0.2.batch.342.tar.xz,4336825,155,0.12
SAMN06010493,,4359825,1,0.25
SAMEA7563381,atb.bakta.r0.2.batch.346.tar.xz,4334219,119,0.25
SAMEA7525712,atb.bakta.r0.2.batch.342.tar.xz,4319976,130,0.25
SAMEA8718294,atb.bakta.r0.2.batch.347.tar.xz,4321619,115,0.25
SAMEA7526531,atb.bakta.r0.2.batch.642_b.tar.xz,4368754,95,2.0
SAMEA7525628,atb.bakta.r0.2.batch.342.tar.xz,4269379,302,4.0
SAMEA7541692,atb.bakta.r0.2.batch.343.tar.xz,4322145,118,0.5
SAMEA7546016,atb.bakta.r0.2.batch.343.tar.xz,4309213,106,0.5
SAMEA7526001,atb.bakta.r0.2.batch.342.tar.xz,4350263,121,0.06
SAMEA104362362,atb.bakta.r0.2.batch.350.tar.xz,4326276,119,0.25
SAMEA7546494,atb.bakta.r0.2.batch.343.tar.xz,4169923,402,0.25
SAMEA7543993,atb.bakta.r0.2.batch.343.tar.xz,4338042,81,0.5
SAMEA7526501,atb.bakta.r0.2.batch.342.tar.xz,4216118,228,0.5
SAMEA7541755,atb.bakta.r0.2.batch.343.tar.xz,4329041,108,0.5
SAMEA7547624,atb.bakta.r0.2.batch.344.tar.xz,4196018,274,0.5
SAMEA7526924,atb.bakta.r0.2.batch.342.tar.xz,4328114,125,0.06
SAMEA7526241,atb.bakta.r0.2.batch.342.tar.xz,4339939,117,0.5
SAMEA7526396,atb.bakta.r0.2.batch.342.tar.xz,4346963,91,0.125
SAMEA8718634,atb.bakta.r0.2.batch.347.tar.xz,4315906,104,1.0
SAMEA8741974,atb.bakta.r0.2.batch.347.tar.xz,4318491,106,1.0
SAMEA7524842,atb.bakta.r0.2.batch.342.tar.xz,4381739,81,1.0
SAMEA104362240,atb.bakta.r0.2.batch.350.tar.xz,4332241,110,0.5
SAMEA7560733,atb.bakta.r0.2.batch.346.tar.xz,4345257,97,0.5
SAMEA7526257,atb.bakta.r0.2.batch.342.tar.xz,4344994,103,0.25
SAMEA7555807,atb.bakta.r0.2.batch.345.tar.xz,4337726,127,0.12
SAMEA7525420,atb.bakta.r0.2.batch.342.tar.xz,4353134,153,0.125
SAMEA7561821,atb.bakta.r0.2.batch.346.tar.xz,4283190,157,0.5
SAMEA7560618,atb.bakta.r0.2.batch.346.tar.xz,4343032,100,0.5
SAMEA7544396,atb.bakta.r0.2.batch.343.tar.xz,4330964,85,0.5
SAMEA7526018,atb.bakta.r0.2.batch.342.tar.xz,4372763,108,0.03
SAMEA7526371,atb.bakta.r0.2.batch.342.tar.xz,4351552,101,0.5
SAMEA7555908,atb.bakta.r0.2.batch.345.tar.xz,4342531,100,0.5
SAMEA7546299,atb.bakta.r0.2.batch.343.tar.xz,4196726,284,0.5
SAMEA8718407,atb.bakta.r0.2.batch.347.tar.xz,3806337,770,0.5
SAMEA104362474,atb.bakta.r0.2.batch.350.tar.xz,3695321,810,0.5
SAMEA7541420,atb.bakta.r0.2.batch.343.tar.xz,4341366,103,0.5
SAMEA7526402,atb.bakta.r0.2.batch.342.tar.xz,4312138,134,2.0
SAMEA7563982,atb.bakta.r0.2.batch.643_a.tar.xz,4318613,114,0.5
SAMEA7526462,atb.bakta.r0.2.batch.342.tar.xz,4301694,93,0.125
SAMEA7541805,atb.bakta.r0.2.batch.343.tar.xz,4339095,101,0.25
SAMEA7525182,atb.bakta.r0.2.batch.342.tar.xz,4346287,140,0.25
SAMEA7526554,atb.bakta.r0.2.batch.342.tar.xz,4359764,87,0.5
SAMEA7563342,atb.bakta.r0.2.batch.346.tar.xz,4329015,132,0.25
SAMEA5569614,atb.bakta.r0.2.batch.340.tar.xz,4351098,84,0.25
SAMEA104362267,atb.bakta.r0.2.batch.350.tar.xz,4328356,103,0.25
SAMEA7560862,atb.bakta.r0.2.batch.346.tar.xz,4368823,88,0.5
SAMEA5569960,atb.bakta.r0.2.batch.340.tar.xz,4347824,79,0.5
SAMEA7542037,atb.bakta.r0.2.batch.343.tar.xz,4308061,124,0.5
SAMN05918589,,4398429,6,0.25
SAMEA8718663,atb.bakta.r0.2.batch.347.tar.xz,4350685,95,1.0
SAMEA7525127,atb.bakta.r0.2.batch.342.tar.xz,4365279,104,0.25
SAMEA7545376,atb.bakta.r0.2.batch.343.tar.xz,4263050,140,0.25
SAMEA8718582,atb.bakta.r0.2.batch.347.tar.xz,4318186,93,1.0
SAMEA7525667,atb.bakta.r0.2.batch.342.tar.xz,4343373,220,1.0
SAMEA7546215,atb.bakta.r0.2.batch.343.tar.xz,4344968,82,0.5
SAMEA7545620,atb.bakta.r0.2.batch.343.tar.xz,3896684,879,0.5
SAMN05918653,,4406141,44,0.25
SAMEA7544147,atb.bakta.r0.2.batch.343.tar.xz,4368951,80,0.5
SAMEA8742065,atb.bakta.r0.2.batch.347.tar.xz,4280064,123,0.5
SAMEA7562899,atb.bakta.r0.2.batch.346.tar.xz,4341758,99,0.03
SAMEA7526079,atb.bakta.r0.2.batch.342.tar.xz,4315270,145,0.06
SAMEA7525875,atb.bakta.r0.2.batch.342.tar.xz,4347151,98,0.5
SAMEA7546040,atb.bakta.r0.2.batch.343.tar.xz,4323056,127,0.5
SAMEA7546290,atb.bakta.r0.2.batch.343.tar.xz,4325759,114,0.5
SAMEA7546702,atb.bakta.r0.2.batch.343.tar.xz,4357112,88,0.12
SAMEA8718406,atb.bakta.r0.2.batch.347.tar.xz,3754420,809,1.0
SAMEA7525891,atb.bakta.r0.2.batch.342.tar.xz,4299502,189,0.06
SAMEA8741217,atb.bakta.r0.2.batch.347.tar.xz,4287563,136,0.25
SAMEA7525723,atb.bakta.r0.2.batch.342.tar.xz,4330271,132,0.5
SAMEA7525037,atb.bakta.r0.2.batch.342.tar.xz,4370080,99,0.12
SAMEA8718698,atb.bakta.r0.2.batch.347.tar.xz,4348234,102,0.5
SAMEA7547379,atb.bakta.r0.2.batch.344.tar.xz,4030044,484,0.25
SAMEA7542183,atb.bakta.r0.2.batch.343.tar.xz,4343632,88,0.5
SAMN05916458,,4387307,7,0.25
SAMEA7526805,atb.bakta.r0.2.batch.342.tar.xz,4341044,124,0.125
SAMEA7525928,atb.bakta.r0.2.batch.342.tar.xz,4339231,106,0.25
SAMEA8742024,atb.bakta.r0.2.batch.347.tar.xz,4285492,104,0.5
SAMEA7546544,atb.bakta.r0.2.batch.343.tar.xz,4119756,399,0.5
SAMEA7560665,atb.bakta.r0.2.batch.346.tar.xz,4357131,94,0.5
SAMEA7545375,atb.bakta.r0.2.batch.343.tar.xz,4257537,157,0.25
SAMEA7545392,atb.bakta.r0.2.batch.343.tar.xz,4284347,132,0.5
SAMN05918730,,4386220,10,0.25
SAMN06010322,,4394210,5,0.25
SAMEA7555991,atb.bakta.r0.2.batch.345.tar.xz,4341463,96,1.0
SAMEA7562606,atb.bakta.r0.2.batch.346.tar.xz,4330853,133,0.5
SAMEA7526134,atb.bakta.r0.2.batch.342.tar.xz,4367597,122,0.25
SAMEA7546595,atb.bakta.r0.2.batch.343.tar.xz,4337977,81,0.5
SAMEA7546004,atb.bakta.r0.2.batch.343.tar.xz,4352988,102,0.5
SAMEA7525601,atb.bakta.r0.2.batch.342.tar.xz,4361120,171,0.03
SAMEA7555799,atb.bakta.r0.2.batch.345.tar.xz,4327893,133,0.12
SAMEA7545907,atb.bakta.r0.2.batch.343.tar.xz,4335715,98,0.25
SAMEA7560902,atb.bakta.r0.2.batch.346.tar.xz,4366380,104,0.12
SAMEA7562850,atb.bakta.r0.2.batch.346.tar.xz,4343924,101,1.0
SAMEA7524780,atb.bakta.r0.2.batch.342.tar.xz,4348165,116,0.5
SAMEA7526153,atb.bakta.r0.2.batch.342.tar.xz,4329887,99,0.125
SAMEA7563442,atb.bakta.r0.2.batch.346.tar.xz,4331936,117,0.25
SAMEA7546743,atb.bakta.r0.2.batch.343.tar.xz,4326972,118,0.5
SAMEA7525610,atb.bakta.r0.2.batch.342.tar.xz,4299533,191,0.25
SAMEA7525745,atb.bakta.r0.2.batch.342.tar.xz,4312399,136,0.25
SAMEA7541846,atb.bakta.r0.2.batch.343.tar.xz,4310879,112,0.5
SAMEA104362207,atb.bakta.r0.2.batch.350.tar.xz,3839761,728,0.5
SAMEA7524931,atb.bakta.r0.2.batch.342.tar.xz,4363422,95,0.25
SAMEA7544603,atb.bakta.r0.2.batch.343.tar.xz,4350229,93,0.25
SAMEA7542253,atb.bakta.r0.2.batch.343.tar.xz,4352270,97,0.5
SAMEA7526078,atb.bakta.r0.2.batch.342.tar.xz,4333218,133,0.06
SAMEA7525864,atb.bakta.r0.2.batch.342.tar.xz,4349015,96,0.5
SAMEA7561472,atb.bakta.r0.2.batch.346.tar.xz,4320139,130,0.5
SAMEA7560853,atb.bakta.r0.2.batch.346.tar.xz,4340378,107,0.12
SAMEA7544689,atb.bakta.r0.2.batch.642_a.tar.xz,4356709,93,0.25
SAMEA7555974,atb.bakta.r0.2.batch.345.tar.xz,4366809,116,0.25
SAMEA7560909,atb.bakta.r0.2.batch.346.tar.xz,4349116,98,0.5
SAMEA7544055,atb.bakta.r0.2.batch.343.tar.xz,4337982,105,0.5
SAMEA104362266,atb.bakta.r0.2.batch.350.tar.xz,4339884,90,0.5
SAMEA7526697,atb.bakta.r0.2.batch.342.tar.xz,4343712,96,0.125
SAMEA7541577,atb.bakta.r0.2.batch.343.tar.xz,4348806,110,0.25
SAMEA7544641,atb.bakta.r0.2.batch.343.tar.xz,4293084,137,0.25
SAMN05916451,,4386428,13,0.25
SAMEA7560725,atb.bakta.r0.2.batch.346.tar.xz,4325271,83,0.25
SAMEA7525732,atb.bakta.r0.2.batch.342.tar.xz,4316178,131,1.0
SAMEA7563713,atb.bakta.r0.2.batch.346.tar.xz,4335805,113,0.25
SAMN05918757,,4398075,30,0.25
SAMEA7563127,atb.bakta.r0.2.batch.346.tar.xz,4316739,118,0.5
SAMEA7560692,atb.bakta.r0.2.batch.346.tar.xz,4361689,98,0.25
SAMN06010445,,4397499,5,0.25
SAMEA7525644,atb.bakta.r0.2.batch.342.tar.xz,4302493,174,0.5
SAMEA7555784,atb.bakta.r0.2.batch.345.tar.xz,4332473,98,0.5
SAMEA7526319,atb.bakta.r0.2.batch.342.tar.xz,4384684,95,0.06
SAMEA104362210,atb.bakta.r0.2.batch.350.tar.xz,4007486,522,0.25
SAMEA8718704,atb.bakta.r0.2.batch.347.tar.xz,4341511,91,0.5
SAMEA7555877,atb.bakta.r0.2.batch.345.tar.xz,4326565,90,0.5
SAMEA7525108,atb.bakta.r0.2.batch.342.tar.xz,4345212,133,0.5
SAMEA8742356,atb.bakta.r0.2.batch.347.tar.xz,4340502,95,0.5
SAMEA7545524,atb.bakta.r0.2.batch.343.tar.xz,4323159,91,1.0
SAMEA8718500,atb.bakta.r0.2.batch.347.tar.xz,4333896,108,0.25
SAMEA104362164,atb.bakta.r0.2.batch.350.tar.xz,4188680,255,0.5
SAMEA7562604,atb.bakta.r0.2.batch.346.tar.xz,4326930,135,0.25
SAMEA8741173,atb.bakta.r0.2.batch.347.tar.xz,4296373,143,0.25
SAMEA7545278,atb.bakta.r0.2.batch.343.tar.xz,4249654,159,0.25
SAMEA7546230,atb.bakta.r0.2.batch.343.tar.xz,4356960,81,1.0
SAMEA7564070,atb.bakta.r0.2.batch.643_a.tar.xz,4249778,143,0.25
SAMEA7525565,atb.bakta.r0.2.batch.342.tar.xz,4368040,104,0.5
SAMEA7555955,atb.bakta.r0.2.batch.345.tar.xz,4345471,111,0.25
SAMEA7525063,atb.bakta.r0.2.batch.342.tar.xz,4362811,99,0.5
SAMEA7545441,atb.bakta.r0.2.batch.343.tar.xz,4307332,125,0.5
SAMEA7563029,atb.bakta.r0.2.batch.346.tar.xz,4340719,92,0.25
SAMEA7542208,atb.bakta.r0.2.batch.343.tar.xz,4344061,102,0.5
SAMEA7564184,atb.bakta.r0.2.batch.346.tar.xz,4302478,124,0.25
SAMEA7525310,atb.bakta.r0.2.batch.342.tar.xz,4335043,155,0.25
SAMEA7524753,atb.bakta.r0.2.batch.342.tar.xz,4362930,103,0.5
SAMEA7545884,atb.bakta.r0.2.batch.343.tar.xz,4343834,80,0.25
SAMEA7525504,atb.bakta.r0.2.batch.342.tar.xz,4311399,142,0.25
SAMEA5569651,,4314404,124,0.5
SAMEA7541698,atb.bakta.r0.2.batch.343.tar.xz,4335720,100,0.5
SAMEA7545974,atb.bakta.r0.2.batch.343.tar.xz,4312171,99,0.5
SAMEA7525422,atb.bakta.r0.2.batch.342.tar.xz,4329269,137,0.125
SAMEA7541677,atb.bakta.r0.2.batch.343.tar.xz,4310932,120,0.5
SAMN05916301,,4390204,73,0.25
SAMEA7525608,atb.bakta.r0.2.batch.342.tar.xz,4345114,133,0.5
SAMEA7544263,atb.bakta.r0.2.batch.343.tar.xz,4349915,98,0.5
SAMEA7526477,atb.bakta.r0.2.batch.342.tar.xz,4313900,116,0.125
SAMEA7545972,atb.bakta.r0.2.batch.343.tar.xz,4335052,95,0.5
SAMEA8718887,atb.bakta.r0.2.batch.347.tar.xz,4376188,97,0.5
SAMEA7546177,atb.bakta.r0.2.batch.343.tar.xz,3814212,711,0.25
SAMEA7526045,atb.bakta.r0.2.batch.342.tar.xz,4348537,141,0.5
SAMEA7525708,atb.bakta.r0.2.batch.342.tar.xz,4317966,121,1.0
SAMEA7525167,atb.bakta.r0.2.batch.342.tar.xz,4344317,135,0.5
SAMEA7525100,atb.bakta.r0.2.batch.342.tar.xz,4378462,116,0.5
SAMEA7526844,atb.bakta.r0.2.batch.342.tar.xz,4316527,119,0.06
SAMEA7545256,atb.bakta.r0.2.batch.343.tar.xz,4331072,112,0.25
SAMEA7547360,atb.bakta.r0.2.batch.344.tar.xz,4227144,209,0.5
SAMEA7525982,atb.bakta.r0.2.batch.342.tar.xz,4367818,90,0.5
SAMEA7526490,atb.bakta.r0.2.batch.342.tar.xz,4378806,113,0.03
SAMEA7525788,atb.bakta.r0.2.batch.342.tar.xz,4366166,95,0.5
